name,company_number,town,postcode,account_category,size_score,size_band,sectors,website
Bristol Old Vic Theatre School Limited,02430025,Bristol,BS8,GROUP,100,large,education_training|creative_events,https://find-and-update.company-information.service.gov.uk/company/02430025
Bristol Rovers (1883) Limited,04501223,Bristol,BS7,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/04501223
Bristol Rugby Club Limited,03601031,Bristol,BS3,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/03601031
Bristol Sport Limited,07881103,Bristol,BS3,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/07881103
"Bristol, Clifton And West Of England Zoological Society Limited",05154176,Bristol,BS10,GROUP,100,large,agri_tech_food|creative_events,https://find-and-update.company-information.service.gov.uk/company/05154176
Brsk Limited,12792126,Tewkesbury,GL20,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/12792126
Brunel Wind Limited,05836426,Bristol,BS1,GROUP,100,large,construction_green|business_professional,https://find-and-update.company-information.service.gov.uk/company/05836426
Burges Salmon Llp,OC307212,Bristol,BS2,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/OC307212
Cabot Learning Federation,06207590,Bristol,BS15,GROUP,100,large,education_training|hospitality_tourism,https://find-and-update.company-information.service.gov.uk/company/06207590
Calcot Health & Leisure Company Limited,04113929,Gloucestershire,GL8,GROUP,100,large,hospitality_tourism|creative_events,https://find-and-update.company-information.service.gov.uk/company/04113929
Caledonia Tlg Bidco Limited,10246125,Wrington,BS40,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/10246125
Camargue Group Limited,03954008,Gloucestershire,GL50,GROUP,100,large,agri_tech_food|business_professional,https://find-and-update.company-information.service.gov.uk/company/03954008
Campden Bri,00510618,Gloucestershire,GL55,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/00510618
Capfun UK Limited,14334815,Gloucester,GL2,GROUP,100,large,hospitality_tourism,https://find-and-update.company-information.service.gov.uk/company/14334815
Castellum Consortium Ltd,08389791,Stonehouse,GL10,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/08389791
Cedar Care Homes Limited,03585946,Bristol,BS8,GROUP,100,large,health_care,https://find-and-update.company-information.service.gov.uk/company/03585946
Centre For Sustainable Energy,02219673,Bristol,BS1,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/02219673
Ceres Estates Limited,00627176,Cheltenham,GL53,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/00627176
Cheltenham Borough Homes Limited,04587658,Cheltenham,GL50,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/04587658
Cheltenham Lido Limited,03128079,Cheltenham,GL53,GROUP,100,large,agri_tech_food|creative_events,https://find-and-update.company-information.service.gov.uk/company/03128079
Children'S Scrapstore,02624238,Bristol,BS2,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/02624238
Chipping Campden School,07680770,Chipping Campden,GL55,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/07680770
Circadian Trust,05384234,Bristol,BS32,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/05384234
Clade Engineering Systems Group Ltd,09010645,Bristol,BS16,GROUP,100,large,aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/09010645
Clark Insurance UK Ltd,07279489,Bristol,BS32,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/07279489
Clean Topco Limited,11844792,Bristol,BS13,GROUP,100,large,aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/11844792
Cleeve School,07633215,Cheltenham,GL52,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/07633215
Clic Sargent Cancer Care For Children,05273638,Bristol,BS1,GROUP,100,large,health_care|hospitality_tourism,https://find-and-update.company-information.service.gov.uk/company/05273638
Click Topco Limited,14716298,Bristol,BS2,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/14716298
Clifton Asset Management Limited,07206291,Bristol,BS20,GROUP,100,large,cyber_digital|business_professional,https://find-and-update.company-information.service.gov.uk/company/07206291
Clifton High School,00011701,Bristol,BS8,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/00011701
Commercial Corporate Services Limited,07531759,Cheltenham,GL53,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/07531759
Corinium Education Trust,07524811,Cirencester,GL7,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/07524811
Cotswold Lakes Trust,05504806,Cirencester,GL7,GROUP,100,large,education_training|hospitality_tourism,https://find-and-update.company-information.service.gov.uk/company/05504806
Crest Experiences Limited,10586504,Bristol,BS2,GROUP,100,large,creative_events,https://find-and-update.company-information.service.gov.uk/company/10586504
Crest Group Limited,10150585,Bristol,BS4,GROUP,100,large,hospitality_tourism,https://find-and-update.company-information.service.gov.uk/company/10150585
Cripps Barn Group Limited,06521845,Cirencester,GL7,GROUP,100,large,cyber_digital|hospitality_tourism,https://find-and-update.company-information.service.gov.uk/company/06521845
Crux Product Design Ltd,04893244,Bristol,BS4,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/04893244
Cullen Group Limited,03483672,Dursley,GL11,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/03483672
Dairy Partners Limited,02900999,Stonehouse,GL10,GROUP,100,large,agri_tech_food,https://find-and-update.company-information.service.gov.uk/company/02900999
Danco International Limited,01232376,"Coalpit Heath,",BS36,GROUP,100,large,aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/01232376
Deca Group Limited,15966270,Tewkesbury,GL20,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/15966270
Downs School (Charlton House) Limited(The),01072074,Bristol,BS48,GROUP,100,large,education_training,https://find-and-update.company-information.service.gov.uk/company/01072074
"Dudbridge Estates,Limited(The)",00282575,Stonehouse,GL10,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/00282575
Dycem Limited,03239439,Bristol,BS2,GROUP,100,large,aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/03239439
Earnz PLC,10114644,Cheltenham,GL50,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/10114644
Ecclesiastical Insurance Office Public Limited Company,00024869,Gloucester,GL3,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/00024869
Ecotricity Solar (Borrower) Limited,12473398,Stroud,GL5,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/12473398
Elmbridge Pump Company Ltd,08474330,Gloucester,GL2,GROUP,100,large,aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/08474330
Empiric Student Property Limited,08886906,Bristol,BS2,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/08886906
Energy Transition Group Ltd,08862063,Redcliffe,BS1,GROUP,100,large,hospitality_retail,https://find-and-update.company-information.service.gov.uk/company/08862063
Envelop Risk Analytics Limited,10531277,Bristol,BS1,GROUP,100,large,cyber_digital|business_professional,https://find-and-update.company-information.service.gov.uk/company/10531277
Equilibrium Industries Limited,07445549,Bristol,BS30,GROUP,100,large,aerospace_manufacturing,https://find-and-update.company-information.service.gov.uk/company/07445549
Et Ceteris Limited,08432677,Bristol,BS48,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/08432677
Everoze Partners Limited,09588207,Bristol,BS1,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/09588207
Evgh Limited,07397371,Gloucester,GL2,GROUP,100,large,construction_green,https://find-and-update.company-information.service.gov.uk/company/07397371
Exe Capital Management Limited,14374117,Cirencester,GL7,GROUP,100,large,business_professional,https://find-and-update.company-information.service.gov.uk/company/14374117
Farmers First Limited,03945957,Bristol,BS2,GROUP,100,large,construction_green|business_professional,https://find-and-update.company-information.service.gov.uk/company/03945957
Fintellect Limited,02610855,Moreton-In-Marsh,GL56,GROUP,100,large,agri_tech_food|business_professional,https://find-and-update.company-information.service.gov.uk/company/02610855
